protein1	protein2	locs1	locs2	sizes	category
P51668	Q96EQ8	Cytoplasm	Golgi apparatus,Membrane	1|2	oneMulti
Q9H3H1	Q9UBS3	Cytoplasm,Mitochondrion	Endoplasmic reticulum	2|1	oneMulti
O60260	Q9Y2X8	Cell projection,Cytoplasm,Endoplasmic reticulum,Membrane,Mitochondrion,Mitochondrion outer membrane,Nucleus,Synapse	none	8|1	oneMulti
P40222	Q16623	none	Cell membrane,Cytoplasmic vesicle,Membrane,Secreted,Synapse,Synaptosome	1|6	oneMulti
P62424	Q8TD47	Cytoplasm	none	1|1	bothSingle
A0A2R8Y422	P25398	none	Cytoplasm,Nucleus	1|2	oneMulti
O15212	Q9UHV9	none	Cytoplasm,Mitochondrion,Nucleus	1|3	oneMulti
Q68DI1	Q96CB9	Nucleus	Mitochondrion	1|1	bothSingle
Q5QJE6	Q6DKK2	Nucleus	Membrane,Mitochondrion,Mitochondrion inner membrane	1|3	oneMulti
O95757	P34931	Cytoplasm,Nucleus	none	2|1	oneMulti
P49798	P50148	none	Cell membrane,Golgi apparatus,Membrane,Nucleus	1|4	oneMulti
Q8NEK8	Q9Y6J0	none	Nucleus	1|1	bothSingle
P22612	Q9P0M2	none	Cytoplasm,Nucleus	1|2	oneMulti
P11234	Q3MIN7	Cell membrane,Membrane	none	2|1	oneMulti
P05386	Q9Y2L1	none	Cytoplasm,Exosome,Nucleus	1|3	oneMulti
P11686	Q96G97	Secreted,Surface film	Endoplasmic reticulum,Lipid droplet,Membrane	2|3	bothMulti
O00418	Q9NRX2	none	Mitochondrion	1|1	bothSingle
P32243	P53701	Nucleus	Membrane,Mitochondrion,Mitochondrion inner membrane	1|3	oneMulti
P49862	Q9UBC9	Secreted	Cytoplasm	1|1	bothSingle
Q5T0J7	Q9BQD3	none	Lysosome,Membrane	1|2	oneMulti
Q66K74	Q92611	Cytoplasm,Cytoskeleton,Microtubule,Nucleus	Endoplasmic reticulum,Membrane	4|2	bothMulti
